Original Cell Type Name,Standardized Celltype Name
Erythroid_Cell,Erythroid_Cell_Blood
Erythroid_Cell_Blood,Erythroid_Cell_Blood
Erythroid_progenitor_Bone_Marrow,Erythroid_Progenitor_Cell_Bone_Marrow
Erythroid_Progenitor_Cell_Blood,Erythroid_Progenitor_Cell_Blood
Erythroid_Progenitor_Cell_Bone_Marrow,Erythroid_Progenitor_Cell_Bone_Marrow
Erythroid_progenitor_Umbilical_Cord,Erythroid_progenitor_Umbilical_Cord
ES-I3_Cell_Line,ES-I3_Cell_Line
ES-WA7_Cell_Line,ES-WA7_Cell_Line
Esophagus,Esophagus
Ewing_sacroma,Ewing_sacroma
EWS502_Small_Round_Tumor_Cell,EWS502_Small_Round_Tumor_Cell
Exocrine_Pancreatic_Islet,Exocrine_Pancreatic_Islet
Eye,Eye
F5_Erythroid_Progenitor_Cell_Fetal_Liver,F5_Erythroid_Progenitor_Cell_Fetal_Liver
Farage_B_Lymphocyte_Lymph_Node,Farage_B_Lymphocyte_Lymph_Node
FB0167P_Fibroblast,FB0167P_Fibroblast
FB8470_Fibroblast,FB8470_Fibroblast
Fetal_Adrenal_Gland,Fetal_Adrenal_Gland
Fetal_Brain,Fetal_Brain
Fetal_Brain_Female,Fetal_Brain_Female
Fetal_Brain_Male,Fetal_Brain_Male
Fetal_Heart,Fetal_Heart
Fetal_Intestine_Large,Fetal_Intestine_Large
Fetal_Intestine_Small,Fetal_Intestine_Small
Fetal_Kidney,Fetal_Kidney
Fetal_Liver,Fetal_Liver
Fetal_Lung,Fetal_Lung
Fetal_Muscle_Arm,Fetal_Muscle_Arm
Fetal_Muscle_Back,Fetal_Muscle_Back
Fetal_Muscle_Leg,Fetal_Muscle_Leg
Fetal_Muscle_Trunk,Fetal_Muscle_Trunk
Fetal_Muscle_Upper_Trunk,Fetal_Muscle_Upper_Trunk
Fetal_Ovary,Fetal_Ovary
Fetal_Placenta,Fetal_Placenta
Fetal_Renal_Pelvis,Fetal_Renal_Pelvis
Fetal_Renal_Pelvis_Left,Fetal_Renal_Pelvis_Left
Fetal_Renal_Pelvis_Right,Fetal_Renal_Pelvis_Right
Fetal_Skin,Fetal_Skin
Fetal_Skin_Abdomen,Fetal_Skin_Abdomen
Fetal_Skin_Biceps_Left,Fetal_Skin_Biceps_Left
Fetal_Skin_Biceps_Right,Fetal_Skin_Biceps_Right
Fetal_Skin_Quadriceps_Left,Fetal_Skin_Quadriceps_Left
Fetal_Skin_Quadriceps_Right,Fetal_Skin_Quadriceps_Right
Fetal_Skin_Upper_Back,Fetal_Skin_Upper_Back
Fetal_Spinal_Cord,Fetal_Spinal_Cord
Fetal_Stomach,Fetal_Stomach
Fetal_Testis,Fetal_Testis
Fetal_Thymus,Fetal_Thymus
FFPE,FFPE
Fibrobl,Fibroblast
Fibroblast,Fibroblast
Fibroblast_Connective_Tissue,Fibroblast_Connective_Tissue
Fibroblast_Embryo,Fibroblast_Embryo
Fibroblast_Eye,Fibroblast_Eye
Fibroblast_Fetal_Lung,Fibroblast_Fetal_Lung
Fibroblast_Fetal_Skin,Fibroblast_Fetal_Skin
Fibroblast_Fetal_Skin_Back,Fibroblast_Fetal_Skin_Back
Fibroblast_Fetal_Skin_Scalp,Fibroblast_Fetal_Skin_Scalp
Fibroblast_Foreskin,Fibroblast_Foreskin
Fibroblast_Heart,Fibroblast_Heart
Fibroblast_Lung,Fibroblast_Lung
Fibroblast_Periodontal_Ligament,Fibroblast_Periodontal_Ligament
Fibroblast_Prostate,Fibroblast_Prostate
Fibroblast_Pulmonary_Artery,Fibroblast_Pulmonary_Artery
Fibroblast_Skin,Fibroblast_Skin
Fibroblast_Umbilical_Cord,Fibroblast_Umbilical_Cord
Fibroblast_Umbilical_Vein,Fibroblast_Umbilical_Vein
FibroP,FibroP
FLP143HA_Epithelium_Embryonic_Kidney,FLP143HA_Epithelium_Embryonic_Kidney
FLP76_Epithelium_Embryonic_Kidney,FLP76_Epithelium_Embryonic_Kidney
Foreskin,Foreskin
Free_cell,Free_cell
FT194_Fallopian_tube_secretory,FT194_Fallopian_tube_secretory
